id,name,chain_type,address,phone,website,latitude,longitude,rating,user_ratings_total,price_level,opening_hours,business_status,types,formatted_address,city,collection_method,place_id,google_maps_url,collection_date,confidence_score
38,レイスポーツクラブ倉敷,その他,日本、〒710-0834 岡山県倉敷市笹沖１１７１−６,086-422-7700,http://www.raykura.co.jp/,34.5809544,133.7668633,3.9,,,月曜日: 9時30分～22時30分; 火曜日: 9時30分～22時30分; 水曜日: 9時30分～22時30分; 木曜日: 9時30分～22時30分; 金曜日: 9時30分～22時30分; 土曜日: 9時30分～22時00分; 日曜日: 9時30分～18時00分,OPERATIONAL,"health, point_of_interest, establishment, gym",,,nearby_search,,,2025-07-28,1.00
39,イオンスポーツクラブ3FIT倉敷店,その他,日本、〒710-8560 岡山県倉敷市水江１ イオンモール倉敷 1F,086-426-6305,https://x.gd/Ac8tC,34.6046639,133.7449887,3.1,,,月曜日: 9時00分～0時00分; 火曜日: 9時00分～0時00分; 水曜日: 9時00分～0時00分; 木曜日: 9時00分～0時00分; 金曜日: 9時00分～0時00分; 土曜日: 9時00分～22時00分; 日曜日: 9時00分～22時00分,OPERATIONAL,"gym, point_of_interest, health, establishment",,,nearby_search,,,2025-07-28,1.00
40,スポーツクラブ アクトス 倉敷店,その他,日本、〒712-8011 岡山県倉敷市連島町連島３７−６４,086-448-2911,https://sc1.axtos.com/shop/kurashiki,34.5611732,133.7486642,3.7,,,月曜日: 10時00分～23時00分; 火曜日: 10時00分～23時00分; 水曜日: 10時00分～23時00分; 木曜日: 定休日; 金曜日: 10時00分～23時00分; 土曜日: 10時00分～22時00分; 日曜日: 10時00分～19時00分,OPERATIONAL,"health, spa, gym, point_of_interest, establishment",,,nearby_search,,,2025-07-28,1.00
41,カーブス 倉敷老松,Curves,日本、〒710-0826 岡山県倉敷市老松町２丁目７−４,086-427-5501,https://www.curves.co.jp/gbp_2209tr_3490/?s_id=90284,34.59635660000001,133.7602471,4.6,,,"月曜日: 10時00分～13時00分, 15時00分～19時00分; 火曜日: 10時00分～13時00分, 15時00分～19時00分; 水曜日: 10時00分～13時00分, 15時00分～19時00分; 木曜日: 10時00分～13時00分, 15時00分～19時00分; 金曜日: 10時00分～13時00分, 15時00分～19時00分; 土曜日: 10時00分～13時00分; 日曜日: 定休日",OPERATIONAL,"establishment, health, spa, point_of_interest, gym",,,nearby_search,,,2025-07-28,1.00
42,トータルボディ,その他,日本、〒710-0834 岡山県倉敷市笹沖４０５−６ トータルボディ第１ビル 2F,090-9509-0428,http://totalbody.jp/,34.574249,133.7693784,5,,,月曜日: 13時00分～22時00分; 火曜日: 13時00分～22時00分; 水曜日: 13時00分～22時00分; 木曜日: 定休日; 金曜日: 13時00分～22時00分; 土曜日: 13時00分～22時00分; 日曜日: 定休日,OPERATIONAL,"spa, establishment, point_of_interest, gym, health",,,nearby_search,,,2025-07-28,1.00
43,タカボクシング,その他,日本、〒710-0833 岡山県倉敷市西中新田,,,34.5822113,133.7680479,,,,,OPERATIONAL,"establishment, health, gym, point_of_interest",,,nearby_search,,,2025-07-28,1.00
44,bodyconditioning SENSE ボディコンディショニングセンス 倉敷店,その他,日本、〒710-0833 岡山県倉敷市西中新田５１１−６,086-436-7966,https://bodyconditioning-sense.com/,34.5827849,133.7671901,4.8,,,月曜日: 9時00分～21時00分; 火曜日: 定休日; 水曜日: 9時00分～21時00分; 木曜日: 9時00分～21時00分; 金曜日: 9時00分～21時00分; 土曜日: 9時00分～18時00分; 日曜日: 9時00分～18時00分,OPERATIONAL,"point_of_interest, gym, health, establishment",,,nearby_search,,,2025-07-28,1.00
45,ジム ヴィクトリア,その他,日本、〒710-0046 岡山県倉敷市中央２丁目２１−７,,https://gym-victoria.com/#flow,34.5898843,133.7709901,5,,,月曜日: 6時00分～22時00分; 火曜日: 6時00分～22時00分; 水曜日: 定休日; 木曜日: 6時00分～22時00分; 金曜日: 6時00分～22時00分; 土曜日: 6時00分～22時00分; 日曜日: 6時00分～22時00分,OPERATIONAL,"health, point_of_interest, establishment, gym, spa",,,nearby_search,,,2025-07-28,1.00
46,エニタイムフィットネス 倉敷笹沖店,エニタイムフィットネス,日本、〒710-0834 岡山県倉敷市笹沖１２４０−３,086-454-8112,https://www.anytimefitness.co.jp/kurashikisasaoki/,34.5799575,133.7690111,3.9,,,月曜日: 24 時間営業; 火曜日: 24 時間営業; 水曜日: 24 時間営業; 木曜日: 24 時間営業; 金曜日: 24 時間営業; 土曜日: 24 時間営業; 日曜日: 24 時間営業,OPERATIONAL,"point_of_interest, health, spa, gym, establishment",,,nearby_search,,,2025-07-28,1.00
47,ピラティス×骨格特性 Adjust【アジャスト】,その他,日本、〒710-0834 岡山県倉敷市笹沖１１７１−６ レイスポーツクラブ倉敷 2階,086-441-0015,https://yorimitsu-kurashiki.com/adjust-pilates/,34.5809421,133.7668345,5,,,月曜日: 10時00分～22時00分; 火曜日: 10時00分～22時00分; 水曜日: 12時00分～22時00分; 木曜日: 10時00分～22時00分; 金曜日: 10時00分～22時00分; 土曜日: 10時00分～18時00分; 日曜日: 10時00分～18時00分,OPERATIONAL,"establishment, gym, point_of_interest, health",,,nearby_search,,,2025-07-28,1.00
48,カーブス 倉敷茶屋町,Curves,日本、〒710-1101 岡山県倉敷市茶屋町６０１−２,086-428-3997,https://www.curves.co.jp/gbp_2209tr_3490/?s_id=91725,34.571,133.824,4.6,,,"月曜日: 10時00分～13時00分, 15時00分～19時00分; 火曜日: 10時00分～13時00分, 15時00分～19時00分; 水曜日: 10時00分～13時00分, 15時00分～19時00分; 木曜日: 10時00分～13時00分, 15時00分～19時00分; 金曜日: 10時00分～13時00分, 15時00分～19時00分; 土曜日: 10時00分～13時00分; 日曜日: 定休日",OPERATIONAL,"spa, gym, health, point_of_interest, establishment",,,nearby_search,,,2025-07-28,1.00
49,サンフラワースポーツクラブ,その他,日本、〒701-0114 岡山県倉敷市松島１１７７,086-463-1331,https://www.sunflower-net.jp/fitness-2,34.6291844,133.8021391,3.9,,,月曜日: 9時00分～22時00分; 火曜日: 9時00分～22時00分; 水曜日: 9時00分～22時00分; 木曜日: 9時00分～22時00分; 金曜日: 9時00分～22時00分; 土曜日: 9時00分～22時00分; 日曜日: 定休日,OPERATIONAL,"point_of_interest, health, establishment, gym",,,nearby_search,,,2025-07-28,1.00
50,水島緑地福田公園体育館,その他,日本、〒712-8046 岡山県倉敷市福田町古新田１０２７−１０２７,086-455-1078,,34.5333591,133.7681929,4.2,,,月曜日: 8時30分～19時00分; 火曜日: 8時30分～19時00分; 水曜日: 8時30分～19時00分; 木曜日: 8時30分～19時00分; 金曜日: 8時30分～19時00分; 土曜日: 8時30分～19時00分; 日曜日: 8時30分～19時00分,OPERATIONAL,"establishment, gym, point_of_interest, health",,,nearby_search,,,2025-07-28,1.00
51,倉敷市 船穂武道館,その他,日本、〒710-0261 岡山県倉敷市船穂町船穂２８９７,086-552-5172,http://funao-budoukan.jp/,34.5855519,133.7070646,4.1,,,月曜日: 定休日; 火曜日: 8時00分～21時00分; 水曜日: 8時00分～21時00分; 木曜日: 8時00分～21時00分; 金曜日: 8時00分～21時00分; 土曜日: 8時00分～21時00分; 日曜日: 8時00分～21時00分,OPERATIONAL,"establishment, point_of_interest, gym, health",,,nearby_search,,,2025-07-28,1.00
52,スポーツ塾 アトム,その他,日本、〒710-0011 岡山県倉敷市徳芳８６９−６０,086-462-9345,https://www.atom-personal.com/,34.6253747,133.8231456,,,,月曜日: 10時00分～21時00分; 火曜日: 10時00分～21時00分; 水曜日: 10時00分～21時00分; 木曜日: 10時00分～21時00分; 金曜日: 10時00分～21時00分; 土曜日: 10時00分～21時00分; 日曜日: 10時00分～21時00分,OPERATIONAL,"spa, establishment, point_of_interest, health, gym",,,nearby_search,,,2025-07-28,1.00
53,EMOTION138,その他,日本、〒710-0145 岡山県倉敷市福江２０３−１,086-485-5959,http://emotion138.com/,34.5286271,133.8029393,4.8,,,月曜日: 16時00分～22時00分; 火曜日: 16時00分～22時00分; 水曜日: 16時00分～22時00分; 木曜日: 16時00分～22時00分; 金曜日: 16時00分～22時00分; 土曜日: 定休日; 日曜日: 定休日,OPERATIONAL,"establishment, gym, point_of_interest, health",,,nearby_search,,,2025-07-28,1.00
54,Bon Climbing Gym（ボンクライミングジム）,その他,日本、〒712-8001 岡山県倉敷市連島町西之浦８０４−１,086-451-4594,http://www.bonclimbinggym.com/,34.5488935,133.7077687,4.5,,,月曜日: 13時00分～22時00分; 火曜日: 定休日; 水曜日: 13時00分～22時00分; 木曜日: 13時00分～22時00分; 金曜日: 13時00分～22時00分; 土曜日: 11時00分～20時00分; 日曜日: 11時00分～20時00分,OPERATIONAL,"gym, point_of_interest, establishment, health",,,nearby_search,,,2025-07-28,1.00
55,BRIDGEPORT,その他,日本、〒701-0205 岡山県岡山市南区妹尾３４６５−１ ＢＲＩＤＧＥＰＯＲＴ,086-259-4669,http://www.bridgeport2015.com/,34.62307,133.8662756,4.8,,,月曜日: 12時00分～21時00分; 火曜日: 12時00分～21時00分; 水曜日: 定休日; 木曜日: 12時00分～21時00分; 金曜日: 12時00分～21時00分; 土曜日: 12時00分～21時00分; 日曜日: 12時00分～21時00分,OPERATIONAL,"point_of_interest, gym, health, establishment",,,nearby_search,,,2025-07-28,1.00
